input source,filename,size,tablename bronnen,verwerker,new table created,output file
adisa,planned_maintenance_20230601.csv,748K,planned_maintenance      ,#REF!,,
agama,vw_DW_Klant_Sleutelbos_Export_20230602.TXT,342M,sleutelbos               ,,,
bvt,BVT_logical_v2.csv,518M,bvt_logisch_dslam        ,,,
bvt,BVT_WBA_E_v2.csv,140K,bvt_wba_e_dslam          ,,,
dirigent,MAK.txt,4.1M,btis_mak                 ,,,
dirigent,ONDERKOMEN.txt,9.9M,btis_onderkomen          ,,,
dirigent,PANK.txt,100K,btis_pank                ,,,
dirigent,RAP382_1_1_KCC_112_NIM.csv,4.0K,special_112_nim          ,,,
dirigent,RAP382_1_2_KCC_112_NIM_OSS.csv,8.0K,special_112_nim_oss      ,,,
dirigent,RAP382_2_1_KCC_BVN_NIM.csv,12K ,special_bvn_nim          ,,,
dirigent,RAP382_2_2_KCC_BVN_NIM_OSS.csv,92K ,special_bvn_nim_oss      ,,,
dirigent,RAP382_3_KCC_C2000_NIM.csv,336K,special_c2000_nim        ,,,
dirigent,RAP382_4_KCC_NCV.csv,172K,special_ncv              ,,,
dirigent,RAP711_BAG_FILE_FOR_SCMDB.csv,716M,bag                      ,,,
dirigent,TR-STATION.txt,316K,btis_tr_station          ,,,
dwhws,customer_info_ws_v1.csv,2.5M,customer_info_ws         ,,,
eom,EOM_EPOTS_KEYS_20230602000000.data,69M ,epots                    ,,,
kiara,kiara_ene_ont_v1_01062023_102555.csv,5.4M,moose_ene_ont            ,,,
kiara,kiara_spirit_ports_v1_01062023_220005.csv,980K,spirit_ports             ,,,
klantwaarde,overname_spreiding_uur.csv,158M,mobile_klantwaarde       ,,,
klantwaarde,pc6_per_site.csv,12M ,mobile_postcode_site     ,,,
lvv,LVV_L.GZ,416K,lvv_l,,,
lvv,LVV_T.GZ,252K,lvv_t,,,
moose,etn_fysiek_v3_20230601_msft.csv,34M ,moose_fysiek_etn         ,,,
moose,etn_logisch_v9_20230601_msft.csv,1.5G,moose_logisch_etn        ,,,
nimoss,GMN-CARD_20230604100254.csv,640K,file transfer to sge,,,
nimoss,gmn-node_20230604100039.csv,580K,file transfer to sge,,,
nimoss,gmn-port_20230604023411.csv,4.8M,file transfer to sge,,,
nimoss,BENK-112Domain-EAS_20230605000354.csv,20K ,benk_112eas              ,,,
nimoss,BENK-112Domain-IPAS_20230603000631.csv,36K ,benk_112ipas             ,,,
nimoss,BENK-112Node_20230605000706.csv,20K ,benk_112node             ,,,
nimoss,BENK-112Port_20230605000720.csv,524K,benk_112port             ,,,
nimoss,BENK-CPNAM-AS_20230604023451.csv,76K ,cp_nam_as                ,,,
nimoss,benk-cpnam-port_20230604023449.csv,168K,cp_nam_port              ,,,
nimoss,BENK-CPNAM-VPN_20230604023458.csv,140K,cp_nam_vpn               ,,,
nimoss,benk-node-gv_20230604100059.csv,8.0K,gv_node                  ,,,
nimoss,BENK-OTN-AGS_20230604013257.csv,96K ,otn100g_ags              ,,,
nimoss,BENK-OTN-NODE_20230605010011.csv,276K,otn100g_node             ,,,
nimoss,BENK-OTN-OS_20230605011305.csv,220K,otn100g_logisch          ,,,
nimoss,BENK-OTN-PORT_20230605011734.csv,20M ,otn100g_fysiek           ,,,
nimoss,BENK-PCN-MPBAS_20230605013026.csv,160K,pcn_mpbas                ,,,
nimoss,BENK-PCN-NODE_20230605013009.csv,8.0K,pcn_node                 ,,,
nimoss,BENK-PCN-PORT_20230605013024.csv,640K,pcn_port                 ,,,
nimoss,BENKPLACEHOLDER-NODE_20230525013109.csv     ,,12connect_node           ,,,
nimoss,BENKPLACEHOLDER-PORT_20230604013255.csv,2.8M,12connect_port           ,,,
nimoss,benk-port-gv_20230604020033.csv,244K,benk_port_gv             ,,,
nimoss,GIT-Port_20230604023051.csv,4.0K,git_fysiek               ,,,
nimoss,GVAL-CARD_20230602100258.csv,176K,gval_card                ,,,
nimoss,OTN-CARD_20230605010333.csv,1.1M,otn_card                 ,,,
nimoss,PCN-CARD_20230605013211.csv,112K,pcn_card                 ,,,
nimoss,WLR_IB_20230605_0200.CSV,2.4M,wlr_ib                   ,,,
nitra,UNI_Log_eNodeB.txt,804K,file transfer to sge,,,
nitra,2GPostcodes.txt,46M ,2GPostcodes              ,,,
nitra,3GPostcodes.txt,4.0K,3GPostcodes              ,,,
nitra,4GPostcodes.txt,232M,4GPostcodes              ,,,
nitra,UNI_Con_ConGW_EmtnRP.txt,8.0K,nitra_concentrators      ,,,
nitra,UNI_Hardware_Unit.txt,20M ,nitra_hardware_unit      ,,,
nitra,UNI_Log_ACI.txt,18M ,nitra_aci                ,,,
nitra,UNI_Log_RbsSegment.txt,5.4M,nitra_rbs_segment        ,,,
nitra,UNI_Log_TransmissionCircuit.txt,20M ,nitra_tr_circuit         ,,,
nitra,UNI_Phys_Site.txt,3.4M,nitra_phys_site          ,,,
spirit,petaice_bgp_v1.csv,92K ,file transfer to sge,,,
spirit,petaice_cards_v1.csv,8.0K,file transfer to sge,,,
spirit,petaice_ports_v1.csv,52K ,file transfer to sge,,,
spirit,spirit_ports_cumulus_v1.csv,44K ,file transfer to sge,,,
spirit,spirit_iva_node_bgp_v1.csv,256K,spirit_iva_node_bgp      ,,,
spirit,spirit-nodes.txt,48K ,spirit_nodes             ,,,
tci,tci_bgp_v1.csv,444K,tci_bgp                  ,,,
tci,tci_card_v1.csv,4.0K,tci_card                 ,,,
tci,tci_nodes_v1.csv,4.0K,tci_node                 ,,,
tci,tci_ports_v1.csv,40K ,tci_port                 ,,,
tmt_ria,MNM_SQC_site_export.txt,88K ,mnm_site                 ,,,
udex,20201028_udex_sfpinfo.csv                   ,,org_sfp_dslam            ,,,
udex,kiara_mcregion_v1.csv,4.0K,file transfer to sge/mooseguard,,,
udex,pon_udex_sfpinfo_2023-06-02.csv,2.4M,,,,
udex,20230601_udex_sfpinfo.csv,90M ,sfp_dslam                ,,,
udex,kiara_eas_port_v1.csv,7.7M,kiara_eas_port           ,,,
udex,kiara_eas_v1.csv,5.3M,kiara_eas                ,,,
udex,kiara_ene_port_v1.csv,1.9M,kiara_ene_port           ,,,
udex,kiara_ene_v1.csv,4.4M,kiara_ene                ,,,
udex,kiara_eva_v1.csv,279M,kiara_eva                ,,,
udex,kiara_evs_v1.csv,11M ,kiara_evs                ,,,
udex,kiara_global_ivs_v1.csv,4.0K,kiara_global_ivs         ,,,
udex,kiara_iva_v1.csv,4.7M,kiara_iva                ,,,
udex,kiara_ivs_v1.csv,176K,kiara_ivs                ,,,
vib,serviceguard_VIBexport_20230602010001.csv,4.0M,vib                      ,,,
zsmart,ANNET-ETN-EAS_20230604185901.csv,7.7M,file transfer to optoss,,,
zsmart,ANNET-ETN-ENE_20230604185901.csv,4.8M,file transfer to optoss,,,
zsmart,ANNET-ETN-NODE_20230601172901.csv,14M ,file transfer to optoss,,,
zsmart,ANNET-ETN-PORT_20230601190001.csv,125M,file transfer to optoss,,,
zsmart,EAS_RFS_MODEL_20230602030006.csv,32M ,file transfer to sge,,,
zsmart,EDIN_Fan-card_20230601192901.csv,32K ,,,,
zsmart,ENE_RFS_MODEL_20230602030006.csv,41M ,file transfer to sge,,,
zsmart,EVA_RFS_MODEL_20230602053134.csv,88M ,file transfer to sge,,,
zsmart,EVS_RFS_MODEL_20230602040037.csv,248K,file transfer to sge,,,
zsmart,alcatel-port_20230601184050.csv,53M ,etn_benk_alcatel_port    ,,,
zsmart,BENK_TSN_CARD_20230601223002.csv,24K ,tsn_card                 ,,,
zsmart,BENK_TSN_NODE_20230601220001.csv,12K ,tsn_node                 ,,,
zsmart,BENK_TSN_PORT_20230601230001.csv,80K ,tsn_port                 ,,,
zsmart,EDIN-card_20230601191108.csv,4.8M,edin_card                ,,,
zsmart,EMTN-Port_20230601184046.csv,4.0K,etn_benk_emtn_port       ,,,
zsmart,eok-port_20230601184008.csv,11M ,etn_benk_eok_port        ,,,
zsmart,etn-nodes_20230601182910.csv,14M ,etn_nodes                ,,,
zsmart,NIM-BENK-EAS_20230601180027.csv,7.7M,nim_benk_eas             ,,,
zsmart,NIM-BENK-ENE_20230601180027.csv,4.8M,nimbenk_ene              ,,,
zsmart,PRODUCT_RFS_MODEL_20230602005903.csv,1.5G,product_rfs_model        ,,,
zsmart,Protonet_Log_OMS_20230601.csv,2.6M,otn_logisch_oms          ,,,
zsmart,Protonet_Log_OS_20230602.csv,436K,otn_logisch_os           ,,,
zsmart,Protonet_Physical_20230601.csv,4.0M,otn_fysiek               ,,,
zsmart,wwp-port_20230601182903.csv,63M ,etn_benk_wwp_port        ,,,
zsmart,ZSMART_DSLAM_CARD_20230602030006.csv,133M,netcap_dslam_card        ,,,
zsmart,ZSMART_DSLAM_ETS_20230602030006.csv,3.0M,netcap_dslam_ets         ,,,
zsmart,ZSMART_DSLAM_NODE_20230602043012.csv,3.5M,netcap_dslam_node        ,,,
zsmart,ZSMART_DSLAM_ONT_ENE_EAS_20230602030006.csv,100M,zsmart_dslam_ont_ene_eas ,,,
zsmart,ZSMART_DSLAM_PORT_EAS_20230602030006.csv,724M,netcap_dslam_port_eas    ,,,
zsmart,ZSMART_WBA_EVS_20230602045902.csv,2.6G,netcap_wba_evs           ,,,
,Access_SNI_20220522_0100.csv                ,,faim_access              ,,,
etn_bastool,bastool_ces_uni_v1_20220408.csv             ,,bastool_etn              ,,,
ftp/yearly/,CGB-namen.csv                               ,,cgb_namen                ,,,
,NIMBENK_ASK_20190618110212.csv              ,,nimbenk_ask              ,,,
ftp/yearly/,oss-operator.csv                            ,,oss_operator             ,,,
,RAP316_ACN_REPORT_FOR_SCMDB.csv             ,,acn                      ,,,
lucent_wdm,WDM_20220718.csv                            ,,lucent_wdm               ,,,
gv_logical,SCMDB_gval.csv                              ,,scmdb_gval               ,,,
,VCODE_20190324.csv                          ,,vcode                    ,,,
mysql?,rpm_vlan_report.csv,,,,,
